"name","description","category","link"
"Webmail","Webmail Conta de e-mail exclusiva para associados, com capacidade de 10 GB e domínio AASP.","Suporte Profissional","http://aplicacao.aasp.org.br/aasp/login/webmail.asp"
"Aplicativo AASP","Aplicativo AASP Suas intimações e notícias jurídicas em um só lugar. Faça o download agora.","Suporte Profissional","https://www.aasp.org.br/produto/aplicativo-aasp/"
"Cálculos","Cálculos Cálculos judiciais e trabalhistas em uma ferramenta superprática.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/calculos/"
"Central de Apoio","Central de Apoio Salas para reunião com clientes, digitalização e cópia de documentos, acesso à internet e muito mais.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/central-de-apoio/"
"Centro de Mediação","Centro de Mediação Mediação de qualidade e confiança para advogados e seus clientes.","Suporte Profissional","http://aplicacao.aasp.org.br/cmaasp/"
"Certificado digital","Certificado digital Emita o certificado digital no seu escritório, na sede e nos eventos da AASP ou na Unidade Móvel.","Suporte Profissional","http://certidigital.aasp.org.br/Agendamento/Apresentacao"
"Clube de Benefícios","Clube de Benefícios Descontos e promoções especiais para os associados.","Suporte Profissional","https://www.aasp.org.br/produto/clube-de-beneficios/"
"Competência territorial","Competência territorial Sistema de consulta por logradouro.","Suporte Profissional","http://aplicacao.aasp.org.br/aasp/tribunais/competencias/ct_consultalogra.asp"
"Custas","Custas Informações dos valores e taxas devidas ao Poder Judiciário e aos cartórios extrajudiciais de todo o Brasil.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/custas/"
"Gerenciador de escritório","Gerenciador de escritório Sistema indispensável para organizar seu escritório de advocacia e otimizar as oportunidades do seu negócio.","Suporte Profissional","https://gerenciador.aasp.org.br/landing"
"Guia de Endereços","Guia de Endereços Endereços, constantemente atualizados, dos órgãos judiciais do país.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/guia-de-enderecos/"
"Índices Econômicos","Índices Econômicos IGP-M, correção monetária, Selic, seguro-desemprego e muitos outros índices econômicos, sempre atualizados.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/indices-economicos/"
"Intimações","Intimações Mais de 100 diários oficiais lidos em todo o Brasil e milhões de intimações expedidas todo ano.","Suporte Profissional","https://www.aasp.org.br/produto/intimacoes/"
"Jucesp","Jucesp Emita a Ficha de Breve Relato Simples, busque por Nire, e constitua tipos societários no posto Jucesp, na AASP.","Suporte Profissional","https://www.aasp.org.br/produto/jucesp/"
"Jurisprudência","Jurisprudência Pesquise em um banco com mais de 9 milhões de jurisprudências ou solicite-as por referência ou encomenda.","Suporte Profissional","https://www.aasp.org.br/produto/jurisprudencia/"
"Núcleo de Suporte Forense - São Paulo","Núcleo de Suporte Forense Tenha acesso a seus processos judiciais na capital paulista e em Brasília, mesmo ausente dessas cidades.","Suporte Profissional","https://www.aasp.org.br/produto/nucleo-de-suporte-forense/"
"Núcleo de Suporte Forense - Brasília","Núcleo de Suporte Forense Tenha acesso a seus processos judiciais na capital paulista e em Brasília, mesmo ausente dessas cidades.","Suporte Profissional","https://www.aasp.org.br/produto/nucleo-de-suporte-forense-brasilia/"
"Posto da Receita Federal","Posto da Receita Federal A alternativa para solucionar questões para você, seus clientes e negócios.","Suporte Profissional","https://www.aasp.org.br/produto/posto-da-receita-federal/"
"Processo eletrônico","Processo eletrônico Informações e ferramentas para auxiliar no peticionamento eletrônico nos principais órgãos judiciais.","Suporte Profissional","http://processoeletronico.aasp.org.br/"
"Tribunais","Tribunais Informações importantes e sempre atualizadas para facilitar o trabalho dos advogados.","Suporte Profissional","https://www.aasp.org.br/suporte-profissional/tribunais/"
"Unidade Móvel","Unidade Móvel Conheça os destinos da Unidade Móvel, a sede da AASP sobre rodas.","Suporte Profissional","https://www.aasp.org.br/institucional/sobre-a-aasp/unidades/agenda-da-unidade-movel/"
"Vitae – Rede profissional","Vitae – Rede profissional Oportunidades profissionais para advogados e estagiários e para escritórios divulgarem suas vagas.","Suporte Profissional","http://vitae.aasp.org.br/"
"Por Estado","Custas para distribuição de ações iniciais e para recursos no âmbito do Poder Judiciário","Custas","https://www.aasp.org.br/suporte-profissional/custas/sao-paulo/"
"STF e STJ","Valores e códigos para recolhimento de custas e porte de remessa e retorno dos autos ao STJ e ao STF","Custas","https://www.aasp.org.br/suporte-profissional/custas/supremo-tribunal-federal/"
"Modelos de guias de recolhimento","Modelos com orientações gerais para o preenchimento das guias de recolhimento","Custas","https://www.aasp.org.br/suporte-profissional/custas/modelos-de-guias-dos-tribunais-regionais/"
"Calculadora TJSP","A ferramenta de cálculos de atualização monetária de uso mais simples que você já viu.","Cálculos","https://www.aasp.org.br/suporte-profissional/calculos/calculos-judiciais/"
"Judiciais","Mais de 70 índices para realizar tudo o que você precisa.","Cálculos","https://www.debit.com.br/aasp/index.php?calculo=atualiza"
"Trabalhistas","Cálculos iniciais, de liquidação, FGTS, férias e outras operações que todo advogado trabalhista requer.","Cálculos","https://www.debit.com.br/aasp/index.php?calculo=trabalhista"
"Empréstimo de becas","O empréstimo de becas está disponível nas Salas dos Advogados, em São Paulo, e no Escritório em Brasília, para uso em audiências, por advogados e estagiários associados e/ou inscritos na OAB. O uso é gratuito: basta solicitar ao colaborador AASP, sem pedido de reserva. Consulte locais e horário de empréstimo e regras de uso no regulamento.","Central de Apoio","https://www.aasp.org.br/suporte-profissional/central-de-apoio/emprestimos-de-becas/"
"Digitalização e cópia de documentos e processos","A digitalização e a cópia de documentos e processos integram os serviços voltados a agilizar a rotina dos advogados. Estão à disposição cópias em preto e branco ou coloridas, impressões e digitalização com ocerização (sistema que permite a consulta de palavras-chave dentro do arquivo em PDF). Os horários de funcionamento e valores devem ser consultados no regulamento.","Central de Apoio","https://www.aasp.org.br/suporte-profissional/central-de-apoio/digitalizacao-e-copia-de-documentos-e-processos/"
"Sala de Internet","A Sala de Internet, um ambiente com mais de 30 computadores conectados à banda larga de velocidade e qualidade, permite consulta e pesquisa jurídica. O período de utilização é de 30 minutos, renováveis, caso não haja lista de espera. A impressão de até seis folhas é gratuita para associados e convidados. Horários de funcionamento e regras de uso estão disponíveis no regulamento.","Central de Apoio","https://www.aasp.org.br/suporte-profissional/central-de-apoio/sala-de-internet/"
